SUBSCRIPTION_ID;PACKAGE_ID;TIME_STAMP;ACCOUNT_ID;STATUS;START_DATE;END_DATE
5472065246;p-svmobi-beautytips-c-01;26/03/2020 15:38:48;38488217;INACTIVE;01/05/2019 19:41:36;26/03/2020 15:38:48
5512621712;p-svmobi-beautytips-c-01;16/04/2020 16:30:00;42988863;INACTIVE;05/05/2019 09:52:25;16/04/2020 16:30:00
5645011755;p-svmobi-beautytips-c-01;20/03/2020 10:47:06;4149929;INACTIVE;16/05/2019 12:18:20;20/03/2020 10:47:06
5423373507;p-svmobi-beautytips-c-01;23/04/2020 21:28:36;35936511;INACTIVE;27/04/2019 19:08:16;23/04/2020 21:28:36
5489808899;p-svmobi-beautytips-c-01;21/03/2020 05:17:07;26354986;INACTIVE;03/05/2019 10:07:07;21/03/2020 05:17:07
5489808895;p-svmobi-beautytips-c-01;21/03/2020 05:17:08;26354986;INACTIVE;03/05/2019 10:07:07;21/03/2020 05:17:08
9468291590;p-svmobi-beautytips-c-01;01/04/2020 12:09:52;48108150;INACTIVE;12/02/2020 15:39:13;01/04/2020 12:09:52
10316918128;p-svmobi-gamebar-c-01;06/04/2020 19:01:11;12268181;INACTIVE;06/04/2020 18:06:24;06/04/2020 19:01:11
10373343135;p-svmobi-gamebar-c-01;10/04/2020 16:31:12;165131;INACTIVE;10/04/2020 09:13:22;10/04/2020 16:31:12
10372571587;p-svmobi-gamebar-c-01;10/04/2020 09:46:00;687898;INACTIVE;10/04/2020 08:12:53;10/04/2020 09:46:00
10497090638;p-svmobi-gamebar-c-01;22/04/2020 08:06:59;4613724;INACTIVE;18/04/2020 15:44:41;22/04/2020 08:06:59
10497647702;p-svmobi-gamebar-c-01;18/04/2020 16:33:36;17587402;INACTIVE;18/04/2020 16:24:48;18/04/2020 16:33:36
10497076503;p-svmobi-gamebar-c-01;23/04/2020 09:59:40;6303187;INACTIVE;18/04/2020 15:42:56;23/04/2020 09:59:40
10366425518;p-svmobi-gamebar-c-01;12/04/2020 12:19:07;30734982;INACTIVE;09/04/2020 17:48:51;12/04/2020 12:19:07
10364807825;p-svmobi-gamebar-c-01;09/04/2020 15:59:53;4839593;INACTIVE;09/04/2020 15:38:55;09/04/2020 15:59:53
10541950948;p-svmobi-gamebar-c-01;22/04/2020 01:23:21;26132175;INACTIVE;21/04/2020 15:53:10;22/04/2020 01:23:21
10300215946;p-svmobi-gamebar-c-01;06/04/2020 09:23:57;5074137;INACTIVE;05/04/2020 22:16:15;06/04/2020 09:23:57
